Club,Affiliate,Level,City,State
Orioles,Tides,AAA,Norfolk,VA
Orioles,Baysox,AA,Bowie,MD
Orioles,IronBirds,High A,Aberdeen,MD
Orioles,Shorebirds,Low A,Salisbury,MD
Orioles,GCL Orioles,Rookie,Sarasota,FL
Red Sox,Red Sox,AAA,Worcester,MA
Red Sox,Sea Dogs,AA,Portland,ME
Red Sox,Drive,High A,Greenville,SC
Red Sox,Red Sox,Low A,Salem,MA
Red Sox,GCL Red Sox,Rookie,Port Myers,FL
Yankees,RailRiders,AAA,Scranton,PA
Yankees,Patriots,AA,Bridgewater Township,NJ
Yankees,Renegades,High A,Wappingers Falls,NY
Yankees,Tarpons,Low A,Tampa,FL
Yankees,GCL Yankess,Rookie,Tampa,FL
Rays,Bulls,AAA,Durham,NC
Rays,Biscuits,AA,Montgomery,AL
Rays,Hot rods,High A,Bowling Green,
Rays,RiverDogs,Low A,Charleston,SC
Rays,GCL Rays,Rookie,Port Charlotte,FL
Blue Jays,Bisons,AAA,Buffalo,NY
Blue Jays,Fisher Cats,AA,Manchester,NH
Blue Jays,Canadians,High A,Vancouver,BC
Blue Jays,Blue Jays,Low A,Dunedin,FL
Blue Jays,GCL Blue Jays,Rookie,Dunedin,FL
White Sox,Knights,AAA,Charlotte,NC
White Sox,Barons,AA,Birmingham,AL
White Sox,Dash,High A,Winston-Salem,NC
White Sox,Cannon Ballers,Low A,Kannapolis,NC
White Sox,ACL White Sox,Rookie,Glendale,AZ
Guardians,Clippers,AAA,Columbus,OH
Guardians,RubberDucks,AA,Akron,OH
Guardians,Captains,High A,Eastlake,OH
Guardians,Hillcats,Low A,Lynchburg,VA
Guardians,ACL Guardians,Rookie,Goodyear,AZ
Tigers,Mud Hens,AAA,Toledo,OH
Tigers,SeaWolves,AA,Erie,PA
Tigers,Whitecaps,High A,Comstock Park,MI
Tigers,Flying Tigers,Low A,Lakeland,FL
Tigers,GCL Tigers,Rookie,Lakeland,FL
Royals,Storm Chasers,AAA,Omaha,NE
Royals,Naturals,AA,Springdale,AK
Royals,River Bandits,High A,Davenport,IA
Royals,Fireflies,Low A,Columbia,SC
Royals,ACL Royals,Rookie,Surprise,AZ
Twins,Saints,AAA,St Paul,MN
Twins,Wind Surge,AA,Wichita,KS
Twins,Kernels,High A,Cedar Rapids,IA
Twins,Mighty Mussels,Low A,Fort Myers,FL
Twins,GCL Twins,Rookie,Fort Myers,FL
Astros,Space Cowboys,AAA,Sugar Land,TX
Astros,Hooks,AA,Corpus Christi,TX
Astros,Tourists,High A,Asheville,NC
Astros,Woodpeckers,Low A,Fayetteville,NC
Astros,GCL Astros,Rookie,West Palm Beach,FL
Angels,Bees,AAA,Salt Lake City,UT
Angels,Trash Pands,AA,Madison,AL
Angels,Dust Devils,High A,Pasco,WA
Angels,66ers,Low A,San Bernardino,CA
Angels,ACL Angels,Rookie,Tempe,AZ
Athletics,Aviators,AAA,Las Vegas,NV
Athletics,RockHounds,AA,Midland,TX
Athletics,Lugnuts,High A,Lansing,MI
Athletics,Ports,Low A,Stockton,CA
Athletics,ACL Athletics,Rookie,Mesa,AZ
Mariners,Rainiers,AAA,Tacoma,QA
Mariners,Travelers,AA,Little Rock,AK
Mariners,Aquasox,High A,Everett,WA
Mariners,Nuts,Low A,Modesto,CA
Mariners,ACL Mariners,Rookie,Peoria,AZ
